x,y,yaw,v,w,v_cmd,w_cmd
0.81537926,0.9621062,0.455376,0.32782125,0.48126915,0.0,0.26837254
0.817713,0.9608388,0.4539993,0.44673967,0.42128915,0.0,0.26837254
0.82003456,0.9595202,0.45258823,0.3856902,0.43789,0.0,0.2616098
0.82235485,0.9581535,0.4511653,0.82185984,0.37188977,0.0,0.28974456
0.82470286,0.9567465,0.44934455,0.7908735,0.12042022,0.0,0.28974456
0.82701826,0.9552913,0.446916,0.42560482,0.23916769,0.0,0.2988456
0.829315,0.95378315,0.44542181,0.33381224,0.297521,0.0,0.2988456
0.83160776,0.9522261,0.44393477,0.85983515,0.40374368,0.0,0.3052013
0.8338811,0.9506446,0.4420671,0.54963064,0.26120663,0.0,0.3052013
0.83610016,0.9490415,0.4405397,0.19044876,0.3995577,0.0,0.32220405
0.8383562,0.94737697,0.43884927,0.47915792,0.3661787,0.0,0.30808157
0.8406168,0.9456485,0.43727493,0.73133135,0.4411345,0.0,0.30808157
0.84285975,0.9438926,0.43584248,0.6144881,0.49757245,0.0,0.31113088
0.8450973,0.9420816,0.43455935,0.3335905,0.49265367,0.0,0.31113088
0.84737915,0.9402107,0.43333474,0.7437024,0.49860176,0.0,0.28962344
0.8496873,0.93831015,0.43214554,0.9020319,0.5557713,0.0,0.29227942
0.85121655,0.9370172,0.4313338,0.63933516,0.4908303,0.0,0.29227942
0.85342944,0.9350905,0.42985263,0.306365,0.34194392,0.0,0.27464354
0.8556316,0.93314767,0.42834675,0.4777403,0.38335943,0.0,0.27464354
0.8577808,0.9311849,0.42688137,0.24837065,0.4254614,0.0,0.24670899
0.85988736,0.9291756,0.42545527,0.20294714,0.4738337,0.0,0.24670899
0.86200434,0.9271511,0.42397517,0.35306978,0.38032007,0.0,0.24119878
0.8641268,0.9250531,0.42251432,0.68383884,0.44646126,0.0,0.2227804
0.86627483,0.9229202,0.42086342,0.56927776,0.3617869,0.0,0.2227804
0.86841893,0.9207293,0.41928414,0.69404125,0.41524625,0.0,0.22383755
0.8706096,0.91846436,0.4178064,0.71205664,0.40869212,0.0,0.22383755
0.8727918,0.9161574,0.4163685,0.6093044,0.4119206,0.0,0.23999238
0.87497395,0.9138193,0.41497642,0.7566738,0.45243323,0.0,0.247002
0.8771412,0.911444,0.41359767,0.81337833,0.469337,0.0,0.247002
0.8792114,0.9091121,0.41197908,0.45261002,0.39632106,0.0,0.24673414
0.88123417,0.9067613,0.41047508,0.3900447,0.3612265,0.0,0.20944387
0.88324696,0.9043872,0.40879807,0.4962573,0.29817754,0.0,0.20944387
0.88523746,0.9019476,0.4071504,0.28239822,0.37220448,0.0,0.25506097
0.88656425,0.9002948,0.40610328,0.49052286,0.30864626,0.0,0.25506097
0.8885448,0.8977883,0.40446612,0.25900984,0.32436782,0.0,0.2605248
0.8905694,0.895177,0.40281832,0.78746176,0.43655813,0.0,0.2605248
0.8925995,0.89248,0.40123504,0.62417793,0.42010283,0.0,0.24226964
0.89462113,0.8897407,0.39989722,0.28948784,0.5240388,0.0,0.24687034
0.8966365,0.88698816,0.39839804,0.5843997,0.39442337,0.0,0.24687034
0.89863956,0.8842027,0.39685947,0.76615953,0.40275693,0.0,0.22433275
0.90060186,0.88141114,0.39530227,0.59797096,0.39798546,0.0,0.22433275
0.90249854,0.87863564,0.39356107,0.28760767,0.31377077,0.0,0.18743014
0.90436924,0.87585384,0.3917963,0.5375986,0.29588628,0.0,0.23288226
0.90622324,0.8730364,0.38979062,0.19099951,0.1857819,0.0,0.23288226
0.908054,0.8701807,0.38811296,0.41097403,0.38750362,0.0,0.24004686
0.90988415,0.8672357,0.38632074,0.41525745,0.23972654,0.0,0.24004686
0.91172457,0.864246,0.38405383,0.8023658,0.04720497,0.0,0.237369
0.9135648,0.86110497,0.38218933,0.59941864,0.36009443,0.0,0.24697709
0.9153853,0.8579377,0.38056707,0.51340914,0.38703954,0.0,0.24697709
0.9165894,0.8558147,0.3795037,0.60673046,0.35028857,0.0,0.24470669
0.9183751,0.85261106,0.37788343,0.554934,0.38889205,0.0,0.24470669
0.9201277,0.8494164,0.3763121,0.49802113,0.3729856,0.0,0.2512765
0.9218649,0.84619737,0.37474298,0.54584837,0.38794696,0.0,0.25347483
0.92357224,0.8429458,0.3731774,0.20650434,0.36419636,0.0,0.25347483
0.9252439,0.83975816,0.3716339,0.38568687,0.42094457,0.0,0.3065725
0.92689824,0.83652914,0.37038553,0.39324903,0.4555177,0.0,0.3065725
0.92855805,0.8332206,0.36895424,0.4793439,0.3948,0.0,0.3226363
0.930215,0.82985973,0.3673731,0.7138057,0.30661505,0.0,0.30544108
0.93184584,0.8264615,0.3656264,0.8246231,0.33177614,0.0,0.30544108
0.9334764,0.8229818,0.36400527,0.7967067,0.47203463,0.0,0.31444794
0.9350921,0.8194216,0.3626675,0.78024626,0.49280834,0.0,0.31444794
0.93667704,0.81591487,0.36134633,0.66584635,0.4600858,0.0,0.31353134
0.9382431,0.8123972,0.36005005,0.54930925,0.38050818,0.0,0.31353134
0.9397963,0.80885375,0.35857788,0.519084,0.41365176,0.0,0.30310428
0.94132805,0.80528903,0.35710257,0.6401391,0.41290277,0.0,0.26036906
0.942837,0.80172354,0.35558015,0.16570473,0.425866,0.0,0.23944414
0.9438218,0.79937524,0.35459056,0.42139006,0.34931564,0.0,0.23944414
0.9453022,0.7957482,0.35296997,0.17161036,0.38110852,0.0,0.23944414
0.94676536,0.7920919,0.35140878,0.22675991,0.63093466,0.0,0.28095895
0.9482112,0.7883817,0.35001725,0.32700968,0.5019482,0.0,0.2873205
0.9496404,0.7846967,0.34892756,0.6030884,0.34033877,0.0,0.2873205
0.9510514,0.7809514,0.3470571,0.34097528,0.3215677,0.0,0.32054228
0.9524439,0.7772105,0.3456517,0.534122,0.4449054,0.0,0.3070295
0.9538169,0.7734277,0.3443209,0.47239447,0.5069348,0.0,0.3070295
0.95517826,0.7696146,0.34283453,0.71781254,0.44778085,0.0,0.25467044
0.9565202,0.76577675,0.34132704,0.5182824,0.35583752,0.0,0.25467044
